epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.801,1.0753,2.80901,1.38511,0.52056,0.22388,0.36063,0.23726,1.14232,3.22031,1.50855,0.0003636,0.0003636,0.0003636
2,458.56,1.10713,2.2136,1.40896,0.37746,0.50852,0.41184,0.26748,1.22583,2.76069,1.57039,0.000370636,0.000370636,0.000370636
